bar_open,breadth,btc_r3,btc_ema55_up,known_at,F1_btc_vol,F2_xs_disp,F3_btc_down_volexp,F4_neg_breadth,F5_composite,F5b_composite_noF1,riskoff_z,abtr,trend_strong,btc_up,F5b,F5
2025-12-14 00:00:00+00:00,,,0.0,2025-12-14 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1.4862826744539943,0.4075686891417794,0.0,0.0,0.0,0.0
2025-12-14 04:00:00+00:00,,,0.0,2025-12-14 08:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,-0.6589635898815489,0.2845782443661963,0.0,0.0,0.0,0.0
2025-12-14 08:00:00+00:00,,,0.0,2025-12-14 12:00:00+00:00,0.0,0.0,0.0,1.0,0.0,1.0,0.23392007157444716,0.38498824897658207,0.0,0.0,1.0,0.0
2025-12-14 12:00:00+00:00,,,0.0,2025-12-14 16:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,-0.20713304159293344,0.5929382727224499,0.0,0.0,0.0,0.0
2025-12-14 16:00:00+00:00,,,0.0,2025-12-14 20:00:00+00:00,0.0,0.0,0.0,1.0,0.0,1.0,0.31515723100379,0.773328937144291,0.0,0.0,1.0,0.0
2025-12-14 20:00:00+00:00,,,0.0,2025-12-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.10764532873415983,0.957824866324576,0.0,0.0,0.0,0.0
2025-12-15 00:00:00+00:00,,,0.0,2025-12-15 04:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,-2.1514525181818023,0.11203674974770049,0.0,0.0,0.0,0.0
2025-12-15 04:00:00+00:00,,,0.0,2025-12-15 08:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,-0.5933518978961154,0.5738835751082508,0.0,0.0,0.0,0.0
2025-12-15 08:00:00+00:00,,,0.0,2025-12-15 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1.0871198668261317,0.5513431360146691,0.0,0.0,0.0,0.0
2025-12-15 12:00:00+00:00,,,0.0,2025-12-15 16:00:00+00:00,0.0,0.0,1.0,1.0,1.0,1.0,2.138179636422495,1.897590079695772,1.0,0.0,1.0,1.0
2025-12-15 16:00:00+00:00,,,0.0,2025-12-15 20:00:00+00:00,0.0,1.0,1.0,1.0,1.0,1.0,2.635593943302328,1.6851268172202034,1.0,0.0,1.0,1.0
2025-12-15 20:00:00+00:00,,,0.0,2025-12-16 00:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,-1.3627850083743787,1.0540131000127673,1.0,0.0,0.0,0.0
2025-12-16 00:00:00+00:00,,,0.0,2025-12-16 04:00:00+00:00,0.0,0.0,1.0,1.0,1.0,1.0,1.3557486532971008,1.1524702246240461,1.0,0.0,1.0,1.0
2025-12-16 04:00:00+00:00,,,0.0,2025-12-16 08:00:00+00:00,0.0,0.0,1.0,1.0,1.0,1.0,1.4412372468071968,0.6340739589697545,0.0,0.0,1.0,1.0
2025-12-16 08:00:00+00:00,,,0.0,2025-12-16 12:00:00+00:00,0.0,0.0,1.0,0.0,0.0,0.0,-1.397361911719914,0.4027508302754139,0.0,0.0,0.0,0.0
2025-12-16 12:00:00+00:00,,,0.0,2025-12-16 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1.3002046894687702,0.06246152773654893,0.0,0.0,0.0,0.0
2025-12-16 16:00:00+00:00,,,0.0,2025-12-16 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.7499787584470492,0.23739111179898334,0.0,0.0,0.0,0.0
2025-12-16 20:00:00+00:00,,,0.0,2025-12-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-1.3375089693713582,2.3353760059947404,1.0,0.0,0.0,0.0
2025-12-17 00:00:00+00:00,,-0.03374110391776752,0.0,2025-12-17 04:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,-0.6415017564075889,2.01788806492798,1.0,0.0,0.0,0.0
2025-12-17 04:00:00+00:00,0.011389521640091117,-0.03541595763432459,0.0,2025-12-17 08:00:00+00:00,0.0,0.0,0.0,1.0,0.0,0.0,-0.3438222181344417,1.4219867850571672,1.0,0.0,0.0,0.0
2025-12-17 08:00:00+00:00,0.01366742596810934,-0.026524999944014027,0.0,2025-12-17 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,-0.9011849722332612,1.4999053762912242,1.0,0.0,0.0,0.0
2025-12-17 12:00:00+00:00,0.03189066059225513,-0.020158408364537084,0.0,2025-12-17 16:00:00+00:00,1.0,0.0,1.0,0.0,1.0,1.0,0.1460534863365825,1.3688621535210372,1.0,0.0,1.0,1.0
2025-12-17 16:00:00+00:00,0.32954545454545453,-0.0295263925994399,0.0,2025-12-17 20:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,2.247028028733399,0.09510204684340601,0.0,0.0,1.0,1.0
2025-12-17 20:00:00+00:00,0.22727272727272727,-0.021756991697571837,0.0,2025-12-18 00:00:00+00:00,1.0,0.0,1.0,1.0,1.0,1.0,0.6618455483513467,0.3389882042738565,0.0,0.0,1.0,1.0
2025-12-18 00:00:00+00:00,0.24772727272727274,-0.029861082318559218,0.0,2025-12-18 04:00:00+00:00,1.0,0.0,1.0,0.0,1.0,1.0,-0.027342232236749253,0.03493587610643178,0.0,0.0,1.0,1.0
2025-12-18 04:00:00+00:00,0.15681818181818183,-0.032501700054624716,0.0,2025-12-18 08:00:00+00:00,1.0,0.0,1.0,1.0,1.0,1.0,0.0018847416522297378,0.10035472008094586,0.0,0.0,1.0,1.0
2025-12-18 08:00:00+00:00,0.022727272727272728,-0.02609088677097504,0.0,2025-12-18 12:00:00+00:00,1.0,0.0,0.0,0.0,1.0,0.0,-1.2691700836833824,0.5691101508421967,0.0,0.0,0.0,1.0
2025-12-18 12:00:00+00:00,0.011363636363636364,0.0170604368446583,1.0,2025-12-18 16:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,-1.3539687535255425,1.3791541466870956,1.0,1.0,0.0,0.0
2025-12-18 16:00:00+00:00,0.7,-0.019246447908464415,0.0,2025-12-18 20:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,2.4297128363393283,1.460764504083229,1.0,0.0,1.0,1.0
2025-12-18 20:00:00+00:00,0.08181818181818182,-0.010651708127917714,0.0,2025-12-19 00:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.0,-0.6683361257741876,0.9248782104656584,0.0,0.0,0.0,1.0
2025-12-19 00:00:00+00:00,0.015909090909090907,0.01194580003891077,0.0,2025-12-19 04:00:00+00:00,1.0,0.0,0.0,0.0,0.0,0.0,-2.0208526273576695,0.8268559819681353,0.0,1.0,0.0,0.0
